feature,importance_gain,importance_split
sym_DOL_N_score,0,0
corr_grp_VOLATILIDADE_wgt,0,0
sym_VALE3_score,0,0
sym_WSP_N_score,0,0
sym_WIN_N_score,0,0
bias_sum,0,0
bias_agreement,0,0
pivot_r1,0,0
sym_WDO_N_score,0,0
sym_BOVA11_score,0,0
smc_bos_score,0,0
corr_grp_JUROS_RENDA_FIXA_wgt,0,0
pivot_r2,0,0
volume_score_lag10,0,0
volume_score_lag5,0,0
volume_score_lag3,0,0
volume_score_lag1,0,0
macro_bias,0,0
candle_pattern_score,0,0
obv_score,0,0
corr_grp_DOLAR_CAMBIO_wgt,0,0
volume_score,0,0
dia_semana,0,0
smc_equilibrium_score,0,0
price_in_range_pct,0,0
ind_RSI_14_score,0,0
ind_EMA_9_score,0,0
ind_BB_POSITION_score,0,0
corr_grp_VOLATILIDADE_score,0,0
ind_ADX_14_score,0,0
pivot_s3,0,0
pivot_s2,0,0
pivot_s1,0,0
pivot_r3,0,0
sym_BBAS3_score,0,0
